Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Milling,AISI 304 Stainless Steel,197.6,20.0,5,AlCrN,0.221,4.5,80.6,1282.8,0.0846,1.5,15.96,542.4,Dry,0.0,12.989,272.8,987.15,0.897,0.237,0.5,1.56,3.385,15.64,1.702,2.184
CNC Turning,Al 6061-T6 Aluminum,97.2,93.77,1,Uncoated Carbide,0.192,5.3,427.37,1450.7,0.3448,1.47,0.34,500.1,Flood Coolant,18.54,216.11,163.9,852.1,0.965,0.23,1.85,7.083,9.985,2.77,5.2803,0.407
CNC Milling,AISI 304 Stainless Steel,216.9,8.0,3,AlCrN,0.029,-3.8,86.3,3433.9,0.0971,2.38,4.58,1000.3,Cryogenic (LN2),4.39,10.909,62.3,352.57,1.928,0.31,1.35,0.607,4.362,23.99,2.7761,4.241
CNC Milling,Ti-6Al-4V Titanium,324.2,8.0,3,TiCN,0.005,4.4,65.61,2610.4,0.0961,0.74,6.4,752.4,Dry,0.0,3.574,130.6,220.51,1.492,0.27,0.5,0.284,2.676,44.92,1.3214,6.162
CNC Turning,Al 6061-T6 Aluminum,95.5,106.66,1,Uncoated Carbide,0.038,-2.2,233.15,695.8,0.3985,1.12,0.4,277.3,Flood Coolant,17.07,103.743,93.7,500.41,0.677,0.194,1.85,2.339,5.101,2.95,2.9286,0.47
CNC Milling,Al 6061-T6 Aluminum,101.0,6.0,4,TiAlN,0.03,4.2,400.47,18000.0,0.0616,0.98,1.66,4433.6,Cryogenic (LN2),4.47,7.221,45.0,45.0,18.162,0.859,1.35,0.34,19.036,158.16,9.7466,22.495
CNC Milling,Al 6061-T6 Aluminum,94.1,8.0,2,AlCrN,0.011,2.8,366.5,14582.5,0.1109,3.32,1.37,3233.9,Dry,0.0,14.706,65.2,45.0,12.905,0.667,0.5,0.324,14.304,58.36,6.8458,7.759
CNC Milling,AISI 1045 Steel,211.7,32.0,6,TiAlN,0.231,4.7,169.11,1682.2,0.1486,2.87,12.17,1500.1,Flood Coolant,17.07,52.338,209.7,985.79,1.062,0.39,1.85,3.185,6.441,7.38,3.6058,1.148
CNC Milling,AISI 1045 Steel,204.0,20.0,5,TiAlN,0.017,8.4,235.09,3741.6,0.2151,3.51,13.92,4024.0,Flood Coolant,23.59,196.75,161.5,1536.8,2.104,0.794,1.85,6.988,11.864,3.62,6.1377,0.52
CNC Turning,AISI 1045 Steel,205.6,89.48,1,AlCrN,0.137,4.5,267.86,952.8,0.2454,2.87,0.25,233.8,Flood Coolant,21.29,188.772,274.1,2010.88,0.77,0.187,1.85,10.608,13.106,4.17,6.7505,0.596
CNC Turning,AISI 1045 Steel,216.0,49.41,1,Uncoated Carbide,0.144,8.7,86.99,560.4,0.2439,3.44,0.24,136.7,Flood Coolant,29.85,73.023,193.8,2939.03,0.63,0.172,1.85,4.833,7.345,6.04,4.0157,0.917
CNC Turning,Inconel 718 Superalloy,428.7,82.34,1,TiAlN,0.284,-0.6,79.27,306.5,0.2527,2.82,0.25,77.4,Dry,0.0,56.503,822.4,4800.0,0.546,0.162,0.5,7.321,8.108,8.61,3.9602,1.168
CNC Turning,Ti-6Al-4V Titanium,329.7,20.87,1,TiCN,0.078,4.6,151.76,2314.3,0.0701,0.54,0.07,162.2,MQL (Min Lubrication),0.23,5.742,158.0,189.21,1.348,0.176,0.85,0.543,2.832,29.59,1.4883,4.32
CNC Turning,AISI 1045 Steel,211.8,63.28,1,TiCN,0.035,7.8,135.63,682.2,0.3405,3.08,0.34,232.3,Dry,0.0,142.454,286.1,2472.05,0.672,0.187,0.5,6.442,7.947,3.35,3.8301,0.448
CNC Milling,AISI 1045 Steel,206.9,8.0,4,TiAlN,0.079,0.9,154.34,6140.9,0.1882,0.71,4.21,4623.2,Flood Coolant,34.45,13.871,101.0,210.17,3.725,0.89,1.85,0.614,6.766,29.26,3.7272,4.478
CNC Turning,AISI 1045 Steel,209.3,69.15,1,TiCN,0.199,6.0,254.47,1171.3,0.2562,0.73,0.26,300.1,Flood Coolant,16.67,47.419,228.0,643.41,0.854,0.198,1.85,3.103,5.547,7.02,3.1736,1.115
CNC Milling,Ti-6Al-4V Titanium,344.8,16.0,5,TiCN,0.116,2.7,116.81,2323.8,0.2119,4.0,2.85,2461.6,Flood Coolant,34.68,28.093,200.4,555.49,1.352,0.544,1.85,1.219,5.163,11.03,2.9732,1.764
CNC Turning,Al 6061-T6 Aluminum,95.9,70.39,1,TiCN,0.019,7.9,450.0,2035.0,0.1468,3.17,0.15,298.8,Flood Coolant,23.65,209.689,90.3,472.24,1.218,0.198,1.85,4.127,7.275,2.08,3.9585,0.315
CNC Turning,Al 6061-T6 Aluminum,98.1,96.66,1,TiCN,0.073,-4.5,168.1,553.6,0.2015,3.32,0.2,111.6,MQL (Min Lubrication),0.16,112.413,117.9,930.7,0.628,0.168,0.85,2.958,4.458,2.38,2.2598,0.335
CNC Milling,Inconel 718 Superalloy,425.6,8.0,3,TiAlN,0.087,3.5,39.94,1589.1,0.1277,1.81,2.55,608.8,Cryogenic (LN2),4.88,2.802,62.2,249.33,1.023,0.247,1.35,0.187,2.814,60.27,2.0517,12.206
CNC Milling,AISI 1045 Steel,215.7,25.0,6,AlCrN,0.085,6.0,163.63,2083.4,0.1345,0.55,21.31,1681.4,MQL (Min Lubrication),0.22,19.677,145.0,340.91,1.24,0.419,0.85,1.075,3.502,10.68,1.8078,1.531
CNC Milling,AISI 304 Stainless Steel,205.5,20.0,4,TiAlN,0.052,2.7,209.4,3332.8,0.2025,4.3,15.02,2700.1,Flood Coolant,18.73,174.323,228.8,2328.22,1.872,0.582,1.85,9.734,13.97,4.81,7.144,0.683
CNC Milling,AISI 1045 Steel,212.1,32.0,6,AlCrN,0.138,-2.8,226.91,2257.1,0.0566,3.27,23.58,766.6,MQL (Min Lubrication),0.24,59.109,207.4,1143.99,1.321,0.273,0.85,5.197,7.323,7.43,3.634,1.025
CNC Turning,AISI 304 Stainless Steel,206.1,98.74,1,Uncoated Carbide,0.254,6.9,107.82,347.6,0.2996,1.35,0.3,104.1,Cryogenic (LN2),3.81,43.476,181.1,2063.98,0.559,0.167,1.35,4.456,6.665,9.2,3.9175,1.502
CNC Turning,Inconel 718 Superalloy,372.5,109.35,1,TiAlN,0.394,2.1,53.61,250.0,0.395,3.78,0.4,98.8,Flood Coolant,18.58,79.979,548.1,4800.0,0.527,0.166,1.85,4.972,7.598,5.7,4.1944,0.874
CNC Milling,Ti-6Al-4V Titanium,335.8,8.0,2,Uncoated Carbide,0.139,6.8,53.13,2114.1,0.2032,1.22,6.49,859.1,Flood Coolant,25.9,6.812,135.4,637.78,1.254,0.287,1.85,0.636,4.242,37.36,2.5405,6.216
CNC Milling,Al 6061-T6 Aluminum,105.7,12.0,4,TiCN,0.085,-5.6,182.13,4831.0,0.1065,0.94,1.07,2058.9,Dry,0.0,2.06,77.0,45.0,2.786,0.479,0.5,0.158,3.885,113.16,1.9102,15.454
CNC Milling,AISI 304 Stainless Steel,186.5,12.0,5,TiAlN,0.191,-0.2,122.07,3238.1,0.1442,0.58,4.92,2334.6,Flood Coolant,16.35,6.634,133.6,194.29,1.82,0.524,1.85,0.456,4.687,42.39,2.7633,6.942
CNC Milling,AISI 1045 Steel,186.6,10.0,4,TiCN,0.051,-0.4,175.31,5580.2,0.0791,1.14,2.57,1764.8,Cryogenic (LN2),4.89,5.176,45.0,53.8,3.307,0.432,1.35,0.188,5.492,63.67,3.3171,10.682
CNC Milling,AISI 1045 Steel,217.2,12.0,4,AlCrN,0.001,-4.0,142.57,3781.7,0.1402,2.61,5.75,2121.1,Flood Coolant,31.86,31.824,84.4,433.88,2.128,0.489,1.85,1.197,6.142,11.58,3.4175,1.79
CNC Milling,AISI 304 Stainless Steel,200.7,20.0,4,TiAlN,0.195,7.6,212.32,3379.2,0.0802,2.39,6.75,1084.3,MQL (Min Lubrication),0.21,17.475,221.2,307.04,1.898,0.323,0.85,1.301,4.262,14.63,2.1924,2.091
CNC Turning,Al 6061-T6 Aluminum,105.3,58.34,1,Uncoated Carbide,0.08,4.4,450.0,2455.4,0.2853,0.82,0.29,700.5,Dry,0.0,104.914,173.0,383.47,1.416,0.262,0.5,3.349,5.503,3.15,2.6776,0.425
CNC Milling,AISI 1045 Steel,217.6,16.0,4,AlCrN,0.205,-2.4,240.46,4783.7,0.0691,3.92,11.46,1322.3,Dry,0.0,59.361,363.4,1432.39,2.755,0.362,0.5,6.645,10.944,11.06,5.2888,1.485
CNC Milling,Al 6061-T6 Aluminum,106.1,20.0,4,TiAlN,0.048,2.8,166.21,2645.3,0.1191,3.95,15.13,1259.7,Flood Coolant,15.74,75.209,66.8,578.17,1.509,0.352,1.85,1.849,5.58,4.45,3.1584,0.7
CNC Turning,Al 6061-T6 Aluminum,102.8,71.02,1,TiAlN,0.066,8.5,319.65,1432.6,0.31,1.72,0.31,444.1,Cryogenic (LN2),5.48,170.801,47.2,516.63,0.958,0.221,1.35,3.173,5.817,2.04,3.4741,0.339
CNC Milling,AISI 304 Stainless Steel,195.4,8.0,2,TiAlN,0.117,6.0,78.87,3137.9,0.0448,2.22,3.76,280.9,Flood Coolant,15.36,2.342,78.1,113.14,1.766,0.195,1.85,0.179,3.803,97.44,2.3278,16.566
CNC Turning,Al 6061-T6 Aluminum,100.0,98.85,1,TiAlN,0.053,3.2,441.0,1420.1,0.1747,2.64,0.17,248.1,MQL (Min Lubrication),0.09,203.676,129.1,586.23,0.953,0.19,0.85,5.066,7.392,2.18,3.6498,0.299
CNC Turning,AISI 304 Stainless Steel,213.1,98.98,1,TiAlN,0.331,0.7,119.68,384.9,0.061,0.8,0.06,23.5,Dry,0.0,5.807,319.3,528.1,0.571,0.154,0.5,1.205,2.394,24.74,1.2571,3.608
CNC Milling,Ti-6Al-4V Titanium,347.7,8.0,3,TiCN,0.198,5.1,131.56,5234.7,0.1684,2.89,4.97,2644.2,Flood Coolant,29.63,37.95,291.7,1381.25,3.062,0.573,1.85,3.625,8.862,14.01,4.7482,2.085
CNC Milling,Al 6061-T6 Aluminum,108.7,16.0,4,TiAlN,0.044,-6.0,391.3,7784.7,0.2104,1.19,10.54,6552.3,Flood Coolant,22.39,82.349,75.2,245.24,5.088,1.198,1.85,1.883,9.854,7.18,5.1876,1.05
CNC Milling,Inconel 718 Superalloy,376.5,32.0,4,TiCN,0.143,-2.0,98.8,982.8,0.0943,1.37,15.37,370.8,MQL (Min Lubrication),0.2,7.815,242.7,446.9,0.782,0.209,0.85,0.875,2.737,21.01,1.4569,3.107
CNC Milling,AISI 304 Stainless Steel,210.8,20.0,4,TiAlN,0.027,-4.0,90.88,1446.3,0.1434,3.76,2.24,829.7,Dry,0.0,6.979,117.5,141.54,0.963,0.283,0.5,0.252,1.943,16.7,0.9766,2.332
CNC Milling,AISI 304 Stainless Steel,195.8,10.0,5,TiAlN,0.228,-5.4,204.01,6493.9,0.0895,1.03,1.38,2906.1,Flood Coolant,27.94,4.161,126.0,65.26,4.001,0.615,1.85,0.26,7.016,101.16,3.878,15.532
CNC Turning,AISI 1045 Steel,217.6,80.22,1,TiAlN,0.168,-1.7,225.23,893.6,0.3863,3.47,0.39,345.2,Flood Coolant,20.34,302.34,359.4,4533.07,0.748,0.205,1.85,19.351,21.014,4.17,10.5135,0.58
CNC Milling,AISI 1045 Steel,213.6,8.0,3,AlCrN,0.165,9.0,252.17,10033.3,0.153,1.58,0.64,4605.7,Cryogenic (LN2),3.56,4.667,58.9,45.0,7.285,0.887,1.35,0.216,9.825,126.32,5.3982,19.279
CNC Milling,Ti-6Al-4V Titanium,339.5,20.0,4,TiAlN,0.138,6.7,61.83,984.1,0.0638,1.31,2.52,251.0,Flood Coolant,35.0,0.829,60.2,45.0,0.782,0.19,1.85,0.055,2.671,193.28,1.7944,36.065
CNC Milling,Inconel 718 Superalloy,407.6,10.0,4,Uncoated Carbide,0.238,-5.2,66.94,2130.9,0.0915,3.71,5.24,779.6,Dry,0.0,15.178,461.1,2577.11,1.262,0.275,0.5,3.424,5.055,19.98,2.4991,2.744
CNC Turning,AISI 304 Stainless Steel,209.2,53.19,1,TiAlN,0.22,-5.0,143.05,856.1,0.1944,2.74,0.19,166.4,Flood Coolant,17.2,76.057,339.0,2995.51,0.735,0.177,1.85,8.551,10.7,8.44,5.6263,1.233
CNC Milling,AISI 1045 Steel,209.8,25.0,5,Uncoated Carbide,0.358,3.0,147.53,1878.4,0.1416,2.38,8.74,1330.1,Flood Coolant,17.77,27.615,241.8,907.9,1.148,0.363,1.85,2.589,6.252,13.58,3.5459,2.14
CNC Milling,AISI 1045 Steel,219.3,6.0,2,Uncoated Carbide,0.082,-4.2,221.77,11765.3,0.169,1.39,3.98,3976.6,MQL (Min Lubrication),0.13,21.918,165.4,348.54,9.24,0.786,0.85,1.485,12.356,33.82,6.0132,4.572
CNC Milling,AISI 304 Stainless Steel,212.3,8.0,3,TiAlN,0.165,4.0,163.86,6520.0,0.2008,3.26,6.48,3928.6,Cryogenic (LN2),2.36,83.044,167.0,1943.08,4.021,0.779,1.35,6.207,11.97,8.65,6.4171,1.288
CNC Turning,AISI 1045 Steel,205.2,105.73,1,TiAlN,0.095,8.3,152.69,459.7,0.1114,3.69,0.11,51.2,Flood Coolant,31.11,62.689,149.5,1281.81,0.596,0.158,1.85,3.795,6.664,6.38,3.682,0.979
CNC Milling,AISI 1045 Steel,215.4,25.0,4,AlCrN,0.19,4.5,127.5,1623.4,0.0541,3.85,19.65,351.1,Cryogenic (LN2),5.25,26.555,88.5,907.14,1.037,0.206,1.35,2.249,5.193,11.73,3.2033,2.011
CNC Turning,Al 6061-T6 Aluminum,93.9,51.29,1,Uncoated Carbide,0.026,-2.2,450.0,2792.6,0.0898,1.96,0.09,250.7,MQL (Min Lubrication),0.18,79.064,94.8,298.81,1.584,0.19,0.85,2.651,5.161,3.92,2.5854,0.545
CNC Turning,AISI 1045 Steel,211.7,31.33,1,TiCN,0.329,-4.1,111.0,1127.9,0.0733,2.13,0.07,82.7,Flood Coolant,30.64,17.308,186.8,1154.25,0.837,0.163,1.85,2.55,5.102,17.69,2.993,2.882
CNC Milling,AISI 304 Stainless Steel,211.4,32.0,6,TiAlN,0.029,-0.7,115.97,1153.6,0.0488,0.72,8.1,337.7,Cryogenic (LN2),4.06,1.981,55.0,45.0,0.847,0.204,1.35,0.102,2.473,74.89,1.879,15.807
CNC Turning,Al 6061-T6 Aluminum,101.2,43.8,1,TiAlN,0.093,5.1,298.01,2165.5,0.153,2.69,0.15,331.2,MQL (Min Lubrication),0.14,122.415,122.7,602.59,1.278,0.203,0.85,3.405,5.587,2.74,2.8,0.381
CNC Milling,AISI 1045 Steel,208.5,20.0,6,AlCrN,0.211,7.0,237.62,3781.9,0.1913,1.82,1.04,4340.6,Flood Coolant,23.26,8.204,112.7,45.0,2.128,0.845,1.85,0.213,5.102,37.31,2.9652,6.024
CNC Turning,Ti-6Al-4V Titanium,343.7,89.88,1,AlCrN,0.307,9.7,62.6,250.0,0.1905,2.97,0.19,47.6,MQL (Min Lubrication),0.13,35.393,473.2,3751.75,0.527,0.158,0.85,4.647,6.35,10.76,3.2103,1.512
CNC Turning,Ti-6Al-4V Titanium,328.1,75.1,1,TiCN,0.135,-4.2,102.34,433.7,0.1319,2.21,0.13,57.2,Flood Coolant,34.68,29.796,221.4,1635.49,0.587,0.159,1.85,3.256,6.189,12.46,3.4647,1.938
CNC Milling,Ti-6Al-4V Titanium,322.5,20.0,4,TiCN,0.086,5.4,56.92,906.0,0.116,1.39,1.93,420.4,Dry,0.0,1.123,118.1,45.0,0.753,0.217,0.5,0.048,1.531,81.77,0.7919,11.75
CNC Milling,AISI 304 Stainless Steel,208.5,8.0,3,AlCrN,0.054,4.1,103.83,4131.3,0.1649,3.57,2.13,2043.6,MQL (Min Lubrication),0.19,15.59,121.3,285.68,2.338,0.477,0.85,0.573,4.508,17.35,2.2802,2.438
CNC Turning,AISI 304 Stainless Steel,198.4,65.61,1,TiCN,0.115,5.7,149.13,723.5,0.2488,1.52,0.25,180.0,MQL (Min Lubrication),0.13,56.362,287.0,1273.92,0.687,0.179,0.85,3.679,5.487,5.84,2.7572,0.815
CNC Milling,Al 6061-T6 Aluminum,101.1,20.0,5,Uncoated Carbide,0.138,-5.7,458.76,7301.4,0.1729,4.44,13.51,6310.6,MQL (Min Lubrication),0.22,378.55,221.9,1584.15,4.666,1.16,0.85,14.076,20.517,3.25,9.9014,0.436
CNC Milling,Al 6061-T6 Aluminum,97.1,20.0,5,Uncoated Carbide,0.107,4.7,164.05,2610.9,0.0529,3.31,7.49,690.0,Flood Coolant,29.44,17.118,45.0,167.63,1.492,0.26,1.85,0.527,3.835,13.44,2.3407,2.279
CNC Milling,AISI 304 Stainless Steel,193.1,16.0,4,TiCN,0.145,5.4,83.09,1653.0,0.13,2.02,10.04,859.7,Cryogenic (LN2),2.38,17.437,98.5,695.54,1.05,0.288,1.35,1.157,3.845,13.23,2.5534,2.441
CNC Turning,AISI 1045 Steel,216.0,31.72,1,TiCN,0.009,6.0,219.61,2203.9,0.2148,2.43,0.21,473.4,Dry,0.0,114.719,248.1,1317.38,1.296,0.226,0.5,5.671,7.666,4.01,3.6926,0.536
CNC Turning,AISI 1045 Steel,213.0,73.81,1,TiCN,0.324,7.6,96.19,414.8,0.3706,0.91,0.37,153.7,Flood Coolant,32.39,32.528,262.0,1402.0,0.581,0.175,1.85,2.61,5.438,10.03,3.1514,1.615
CNC Milling,AISI 1045 Steel,221.5,16.0,4,Uncoated Carbide,0.067,-0.0,149.01,2964.4,0.0837,2.97,11.44,993.0,Flood Coolant,34.77,33.684,119.6,848.13,1.673,0.309,1.85,2.459,6.298,11.22,3.5027,1.733
CNC Milling,Ti-6Al-4V Titanium,351.0,6.0,2,AlCrN,0.049,8.9,126.88,6731.0,0.1457,1.79,0.5,1961.3,Dry,0.0,1.765,125.7,45.0,4.191,0.464,0.5,0.111,5.671,192.81,2.7513,25.985
CNC Milling,AISI 1045 Steel,197.7,12.0,4,TiCN,0.128,8.0,115.51,3063.9,0.0976,3.86,1.34,1196.4,Flood Coolant,18.63,6.194,74.4,81.29,1.726,0.341,1.85,0.181,3.924,38.01,2.3872,6.424
CNC Turning,AISI 304 Stainless Steel,231.3,56.42,1,TiCN,0.106,-5.1,115.13,649.5,0.1146,2.2,0.11,74.4,Flood Coolant,19.14,29.079,168.1,1201.14,0.661,0.162,1.85,2.699,5.778,11.92,3.2635,1.871
CNC Milling,Al 6061-T6 Aluminum,109.6,12.0,3,Uncoated Carbide,0.034,5.0,264.69,7021.1,0.191,1.21,3.99,4022.4,MQL (Min Lubrication),0.14,19.387,60.2,69.27,4.43,0.794,0.85,0.361,6.792,21.02,3.3612,2.89
CNC Turning,AISI 1045 Steel,224.5,83.33,1,AlCrN,0.122,-0.2,186.95,714.2,0.3552,3.77,0.36,253.7,Cryogenic (LN2),3.73,250.116,162.7,3565.26,0.684,0.191,1.35,12.724,14.651,3.51,7.6815,0.512
CNC Milling,Al 6061-T6 Aluminum,100.5,10.0,5,TiCN,0.009,2.1,455.81,14509.0,0.1503,4.08,2.98,10901.1,MQL (Min Lubrication),0.1,132.536,91.9,219.23,12.802,1.894,0.85,1.952,16.926,7.66,8.1709,1.028
CNC Turning,Al 6061-T6 Aluminum,93.9,88.05,1,TiCN,0.048,-3.8,285.49,1032.1,0.06,0.67,0.06,62.0,Flood Coolant,17.38,11.479,57.8,67.18,0.8,0.16,1.85,0.364,3.211,16.78,2.0327,2.951
CNC Milling,AISI 1045 Steel,213.7,6.0,3,AlCrN,0.059,-1.0,184.83,9805.3,0.0454,0.61,3.29,1335.2,MQL (Min Lubrication),0.17,2.668,71.5,46.29,7.045,0.364,0.85,0.162,8.424,189.42,4.1409,25.865
CNC Milling,Al 6061-T6 Aluminum,102.0,10.0,4,AlCrN,0.013,3.7,452.66,14408.5,0.2053,3.5,7.95,11831.4,MQL (Min Lubrication),0.15,329.486,119.1,680.7,12.661,2.043,0.85,5.871,21.26,3.87,10.2303,0.517
CNC Milling,Al 6061-T6 Aluminum,103.5,8.0,3,TiAlN,0.062,8.7,283.64,11285.5,0.1734,2.53,4.78,5869.5,Flood Coolant,30.0,71.158,75.0,250.03,8.675,1.089,1.85,1.338,12.961,10.93,6.6665,1.561
CNC Turning,AISI 304 Stainless Steel,213.4,108.51,1,AlCrN,0.046,2.2,236.47,693.7,0.3317,2.16,0.33,230.1,MQL (Min Lubrication),0.15,169.093,349.2,1889.43,0.676,0.187,0.85,8.63,10.085,3.58,4.9275,0.486
CNC Turning,AISI 1045 Steel,204.9,55.88,1,TiCN,0.165,6.3,187.47,1067.9,0.1024,1.79,0.1,109.3,Flood Coolant,17.77,34.361,165.5,714.97,0.814,0.167,1.85,2.675,5.217,9.11,3.0094,1.46
CNC Milling,AISI 304 Stainless Steel,194.3,20.0,6,Uncoated Carbide,0.207,7.1,159.69,2541.5,0.2033,3.85,17.96,3100.0,Flood Coolant,15.38,214.362,367.2,4500.0,1.458,0.646,1.85,13.923,17.6,4.93,8.9006,0.692
CNC Turning,Inconel 718 Superalloy,407.4,29.06,1,TiAlN,0.45,0.4,73.22,801.9,0.0605,1.96,0.06,48.5,Flood Coolant,33.33,8.662,351.5,1901.34,0.715,0.158,1.85,2.779,5.974,41.39,3.4375,6.614
CNC Turning,Ti-6Al-4V Titanium,333.3,60.66,1,TiAlN,0.182,-4.9,71.78,376.7,0.2175,2.19,0.22,81.9,MQL (Min Lubrication),0.23,34.119,380.8,2989.86,0.568,0.163,0.85,4.09,5.858,10.3,2.948,1.44
CNC Turning,AISI 1045 Steel,205.5,57.96,1,TiCN,0.218,3.0,210.95,1158.5,0.1715,3.46,0.17,198.7,MQL (Min Lubrication),0.07,125.098,393.4,2571.56,0.849,0.182,0.85,10.719,12.932,6.2,6.3161,0.841
CNC Milling,Ti-6Al-4V Titanium,336.8,25.0,6,TiCN,0.097,6.1,77.72,989.5,0.171,1.36,13.18,1015.4,Flood Coolant,16.04,18.143,158.4,766.46,0.784,0.312,1.85,1.138,4.087,13.52,2.4585,2.259
CNC Milling,AISI 304 Stainless Steel,190.2,20.0,6,TiAlN,0.255,3.0,178.41,2839.5,0.0691,0.87,9.93,1177.0,Flood Coolant,32.53,10.163,176.7,294.76,1.608,0.338,1.85,1.016,4.966,29.32,2.9107,4.773
CNC Milling,Ti-6Al-4V Titanium,343.6,32.0,4,AlCrN,0.052,5.3,64.65,643.1,0.0924,2.97,2.25,237.6,Cryogenic (LN2),5.71,1.584,54.0,45.0,0.659,0.188,1.35,0.055,2.28,86.37,1.7913,18.85
CNC Turning,Al 6061-T6 Aluminum,89.6,29.63,1,AlCrN,0.096,9.4,371.24,3987.7,0.2102,0.94,0.21,838.1,Cryogenic (LN2),5.54,73.368,47.2,200.22,2.251,0.284,1.35,1.435,5.011,4.1,3.0974,0.704
CNC Turning,AISI 304 Stainless Steel,193.8,79.34,1,TiCN,0.299,9.2,131.98,529.5,0.2077,2.09,0.21,110.0,Flood Coolant,31.21,57.357,344.1,2197.21,0.62,0.168,1.85,5.449,8.401,8.79,4.5528,1.323
CNC Turning,Al 6061-T6 Aluminum,105.0,28.58,1,AlCrN,0.059,3.5,396.46,4415.9,0.1726,0.95,0.17,762.2,Flood Coolant,31.24,65.26,70.7,194.07,2.516,0.272,1.85,1.467,6.412,5.9,3.5554,0.908
CNC Milling,Al 6061-T6 Aluminum,96.9,8.0,3,AlCrN,0.072,-3.8,282.45,11238.1,0.1779,3.27,2.42,5998.3,MQL (Min Lubrication),0.18,47.572,98.5,150.93,8.621,1.11,0.85,0.827,11.804,14.89,5.7491,2.014
CNC Milling,Ti-6Al-4V Titanium,339.6,12.0,4,TiAlN,0.296,1.9,140.23,3719.7,0.1489,1.81,8.92,2215.0,Flood Coolant,23.8,35.727,397.9,1804.89,2.092,0.504,1.85,5.033,10.298,17.29,5.4529,2.544
CNC Turning,AISI 1045 Steel,212.1,48.41,1,TiCN,0.138,-0.7,92.05,605.2,0.3853,3.31,0.39,233.2,Dry,0.0,117.493,387.5,4559.51,0.645,0.187,0.5,7.989,8.819,4.5,4.2646,0.605
CNC Turning,Al 6061-T6 Aluminum,98.9,96.67,1,AlCrN,0.022,4.6,235.96,776.9,0.0693,3.7,0.07,53.9,Flood Coolant,27.42,60.524,58.6,330.36,0.706,0.159,1.85,1.469,4.033,4.0,2.4188,0.666
CNC Turning,Inconel 718 Superalloy,452.1,83.48,1,Uncoated Carbide,0.45,5.5,42.86,250.0,0.0904,1.9,0.09,22.6,MQL (Min Lubrication),0.06,7.344,483.8,2990.47,0.527,0.154,0.85,2.559,4.037,32.98,2.147,4.872
CNC Turning,AISI 1045 Steel,222.8,102.42,1,AlCrN,0.111,3.2,249.83,776.4,0.1903,1.01,0.19,147.8,MQL (Min Lubrication),0.25,47.918,224.6,598.63,0.706,0.174,0.85,2.88,4.311,5.4,2.1975,0.764
CNC Turning,AISI 304 Stainless Steel,201.2,61.99,1,Uncoated Carbide,0.252,4.0,122.68,629.9,0.2432,3.91,0.24,153.2,Flood Coolant,30.48,116.712,374.6,4800.0,0.654,0.175,1.85,11.786,13.976,7.18,7.1897,1.027
CNC Milling,AISI 1045 Steel,213.4,32.0,5,TiAlN,0.032,1.0,183.49,1825.2,0.0992,3.25,11.34,905.1,Flood Coolant,27.82,33.357,108.7,376.6,1.124,0.295,1.85,1.357,4.327,7.78,2.5603,1.279
CNC Milling,Al 6061-T6 Aluminum,108.1,8.0,2,TiCN,0.101,1.0,440.99,17546.5,0.1145,0.53,4.98,4019.8,Flood Coolant,25.44,10.691,52.4,45.0,17.413,0.793,1.85,0.382,19.906,111.72,9.9734,15.549
CNC Turning,Al 6061-T6 Aluminum,112.6,83.19,1,TiCN,0.044,-2.6,348.34,1332.8,0.2746,3.44,0.27,366.0,Flood Coolant,34.06,329.198,106.9,1099.75,0.917,0.209,1.85,7.354,10.469,1.91,5.4798,0.277
CNC Turning,AISI 1045 Steel,214.9,63.41,1,TiCN,0.161,-0.5,215.87,1083.7,0.1203,2.77,0.12,130.3,Flood Coolant,17.71,71.998,209.8,1399.73,0.82,0.171,1.85,5.726,8.589,7.16,4.6104,1.067
CNC Milling,Al 6061-T6 Aluminum,95.9,16.0,4,TiAlN,0.012,-5.9,355.66,7075.6,0.0819,1.0,12.52,2317.5,Dry,0.0,28.952,74.5,136.27,4.475,0.521,0.5,0.931,6.53,13.53,3.1532,1.815
CNC Milling,AISI 1045 Steel,216.3,8.0,2,TiCN,0.037,-4.0,181.97,7240.3,0.1233,3.46,2.26,1786.0,Flood Coolant,15.9,14.005,74.2,146.76,4.614,0.436,1.85,0.533,7.888,33.79,4.2524,5.061
CNC Turning,Al 6061-T6 Aluminum,100.9,49.47,1,TiCN,0.046,-3.0,422.95,2721.4,0.3825,3.79,0.38,1041.0,Flood Coolant,32.62,613.495,136.7,1469.84,1.548,0.317,1.85,12.027,15.035,1.47,7.6487,0.208
